Servicio,N° de indicador,Equipo de trabajo,Estado de indicador,Justificación de indicador,Nombre del indicador,Fórmula de cálculo,Dimensión,Ámbito de control,Expresión de fórmula,Unidad de Medida,Numerador 2026,Denominador 2026,Efectivo 2026,Fecha de cumplimiento 2026,Ponderación 2026,Medios de Verificación 2026,Nota técnica 2026
"SLEP
Colchagua",1,Subdirección De Administración Y Finanzas,Nuevo,"Como una forma de fortalecer la sostenibilidad de la gestión institucional, se incorpora este nuevo indicador en el CDC con el propósito de monitorear de manera sistemática el proceso de compras. Este indicador permite dar seguimiento al grado de cumplimiento del Plan de Compras Públicas, partiendo desde su formalización y planificación inicial, lo que posibilita visualizar cómo serán distribuidos los recursos en el territorio.
Asimismo, al tratarse de un instrumento público disponible en la plataforma de Mercado Público, su cumplimiento refleja el compromiso del Servicio con la transparencia, la eficiencia en la gestión de los recursos y la adecuada programación de las adquisiciones institucionales, contribuyendo así a una administración más ordenada, trazable y alineada con las metas de gestión establecidas.",Porcentaje De Cumplimiento Del Plan De Compras Públicas,(Número de hitos cumplidos del Plan de Compras Públicas en el año t / Número de hitos planificados del Plan de Compras Públicas para el año t)*100,Eficacia,Proceso,(A/B)*100,Porcentaje,N/A,N/A,95%,"31 de diciembre
de 2026",35%,"1. Plan de Compras Públicas
2. Informe de avance
3. Informe de cumplimiento","1- Para el cálculo del denominador:
El Plan de Compras Públicas (en adelante el Plan):
a) Debe estar formalizado y aprobado por el jefe de servicio mediante Resolución Exenta y ser publicado en la plataforma de Mercado Público a más tardar en enero del año t.
b) Se debe ajustar al reglamento e instrucciones elaboradas por Chilecompra y ser publicado en Mercado Público a más tardar en enero del año t.
c) Debe considerar el programa 01 y 02, según corresponda.
d) Debe contener los proyectos con sus respectivas fechas programadas.
e) El Plan puede ser modificado conforme a lo estipulado en el reglamento y la ley de compras públicas durante todo el año t.
2- Para el cálculo del numerador:
Se considerará que un hito está cumplido cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicho hito, conforme a las fechas programadas.
3- Sobre el indicador:
Los informes de avance y de cumplimiento del Plan:
a) El informe de avance del indicador será con corte a junio.
b) El informe de cumplimiento del indicador será con cierre a diciembre.
c) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico  al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
d) Deben contener los medios de verificación declarados en el Plan."
"SLEP
Colchagua",2,Subdirección De Administración Y Finanzas,Continuidad,N/A,Porcentaje De Cierres Presupuestari os Mensuales Oportunos En Sigfe,(Número de cierres oportunos en SIGFE en el año t / Número de cierres en SIGFE del año t)*100,Eficiencia,Proceso,(A/B)*100,Porcentaje,12,12,85%,"31 de diciembre
de 2026",10%,"1. Copia o captura de pantalla del cierre en SIGFE
2. Oficio de justificación de prórroga de plazo a Contraloría General de la República (cuando corresponda).
3. Informe de avance.
4. Informe de cumplimiento.","1- Para el cálculo del denominador:
Para efecto del cálculo del indicador se considerará como meses del año t, los cierres desde diciembre del año t-1 a noviembre del año t (12 meses).
2- Para el cálculo del numerador:
a) Se contabilizará como cierre oportuno todos aquellos efectuados dentro de los primeros 8 días corridos respecto de las operaciones efectuadas y registradas en el mes anterior. En caso que el 8vo día corresponda a sábado, domingo, o festivo, el plazo se prorrogará al primer día hábil siguiente.
b) En caso de que en un mes no se realice cierre oportuno, debe originarse un Oficio desde el Servicio a la Contraloría General de la República (CGR) justificando la prórroga del plazo. El envío de dicho Oficio debe ser presentado como medio de verificación durante el proceso de evaluación del CDC, y la prórroga aceptada por la CGR se considerará como el nuevo plazo de envío oportuno.
3- Sobre el indicador:
a) El informe de avance del indicador será con corte a junio.
b) El informe de cumplimiento del indicador será con cierre a diciembre.
c) Ambos informes deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
d) Deben contener los medios de verificación declarados en el Plan."
"SLEP
Colchagua",3,Subdirección De Administración Y Finanzas,Continuidad,"Se requiere incorporar este indicador para monitorear la ejecución y avance del plan de sostenibilidad financiera, instrumento clave para asegurar una gestión responsable, eficiente y equilibrada de los recursos del Servicio Local, en concordancia con los lineamientos del sistema de educación pública. La elección de este indicador responde a la necesidad de fortalecer la planificacion financiera y presupuestaria, promoviendo una administración transparente que garantice la continuidad operativa de los establecimientos y el uso eficiente de los recursos asignados al territorio.",Porcentaje de cumplimiento del Plan de Sostenibilidad Financiera,(Número de hitos cumplidos del Plan de Sostenibilidad Financiera en el año t / Número de hitos planificados del Plan de Sostenibilidad Financiera para el año t)*100,Eficacia,Proceso,(A/B)*100,Porcentaje,N/A,N/A,95%,"31 de diciembre
de 2026",10%,"1. Plan de sostenibilidad financiera
2. Informe de avance
3. Informe de cumplimiento","1- Para el cálculo del denominador:
El Plan de sostenibilidad financiera (en adelante Plan):
a) Debe contribuir a lo establecido en el objetivo estratégico N°5 de la Estrategia Nacional de Educación Pública.
b) Debe ser aprobado por el Jefe del Centro de Responsabilidad y enviado mediante correo electrónico y/o memorándum al Jefe del Servicio, a más tardar en marzo del año t.
c) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación.
d) El Plan podrá ser modificado hasta junio del año t, solo en los hitos que hayan sido programados con fecha posterior a la fecha de la modificación. Cada modificación debe ser aprobada por el Jefe del Centro de Responsabilidad y  enviada mediante correo electrónico y/o memorándum al Jefe del Servicio.
2- Para el cálculo del numerador:
Se considerará que un hito está cumplido cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicho hito, conforme a las fechas programadas.
3- Sobre el indicador:
a) El informe de avance del indicador será con corte a junio.
b) El informe de cumplimiento del indicador será con cierre a diciembre.
c) Ambos informes deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
d) Ambos informes deben contener los medios de verificación declarados en el Plan."
"SLEP
Colchagua",4,Subdirección De Administración Y Finanzas,Continuidad,N/A,"Porcentaje De Ejecución De Los Subtítulos 21, 22 Y 29
Del Programa 02 Del Servicio","(Monto ejecutado de los subtítulos 21, 22 y 29 del
programa 02 del Servicio en el año t / Monto total del ingreso percibido para los subtítulos 21, 22 y 29 del
programa 02 del Servicio en el año t) * 100",Economía,Proceso,(A/B)*100,Porcentaje,N/A,N/A,85%,"31 de diciembre
de 2026",10%,"1. Informes con registro SIGFE de la ejecución presupuestaria
2. Informe de avance.
3. Informe de cumplimiento.","1- Para el cálculo del denominador:
Se entiende por monto total del ingreso percibido en el año t la suma de los asignados en los subtítulos 21, 22 y 29 del programa 02, incluyendo los ingresos percibidos en los subtítulos 05, 09 y los establecidos por ley en el subtítulo 08 del programa 02 en el año t.
2- Para el cálculo del numerador:
El indicador mide la ejecución del presupuesto de los subtítulos 21, 22 y 29 del programa 02 del SLEP en el año t.
3- Sobre el indicador:
a) Los informes con registro SIGFE tendrán fecha de corte en los meses de abril, agosto y diciembre.
b) El monto ejecutado se registra en base devengada y considera las variaciones presupuestarias del año t.
c) El informe de avance del indicador será con corte a junio.
d) El informe de cumplimiento del indicador será con cierre a diciembre.
e) Ambos informes deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte."
"SLEP
Colchagua",5,Subdirección De Administración Y Finanzas,Nuevo,"Se incorpora este indicador con el propósito de monitorear el grado de avance en la implementación de la Ley N° 21.180 sobre Transformación Digital del Estado, la cual establece la obligatoriedad de que los procedimientos administrativos de los servicios públicos sean tramitados de forma electrónica.
La inclusión de este indicador permite dar seguimiento sistemático al cumplimiento de las acciones comprometidas en el Plan de Implementación, asegurando la correcta identificación y caracterización de los procedimientos administrativos del Servicio. De esta manera, se contribuye al fortalecimiento de la modernización institucional, al aumento de la eficiencia en la gestión y a la mejora de la experiencia usuaria, en coherencia con los lineamientos de digitalización y gestión pública moderna promovidos por el Estado.","Porcentaje De Cumplimiento Del Plan De Implementació n De La Ley N° 21.180 De
Transformació n Digital","(Número de hitos cumplidos del Plan de implementació n de la Ley N°
21.180 de
Transformació n Digital en el año t /Número total de hitos para el año t del Plan de implementació n de la Ley N°
21.180 de
Transformació n Digital para el año t)*100",Eficacia,Proceso,(A/B)*100,Porcentaje,N/A,N/A,95%,"31 de diciembre
de 2026",35%,"1. Plan de implementación de la Ley N° 21.180 de Transformación Digital
2. Informe de avance
3. Informe de cumplimiento","1- Para el cálculo del denominador:
Plan de implementación de la Ley N° 21.180 de Transformación Digital (en adelante Plan):
a) Debe orientarse a acciones relacionadas con la implementación de la Ley N.º 21.180 de Transformación Digital dentro del Servicio, considerando su vínculo con dicha ley.
b) Debe ser aprobado por el Jefe del Centro de Responsabilidad y enviado mediante correo electrónico y/o memorándum al Jefe del Servicio, a más tardar en marzo del año t.
c) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación.
d) El Plan podrá ser modificado hasta junio del año t, solo en los hitos que hayan sido programados con fecha posterior a la fecha de la modificación. Cada modificación debe ser aprobada por el Jefe del Centro de Responsabilidad y  enviada mediante correo electrónico y/o memorándum al Jefe del Servicio.
2- Para el cálculo del numerador:
Se considerará que un hito está cumplido cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicho hito, conforme a las fechas programadas.
3- Sobre el indicador:
a) El informe de avance del indicador será con corte a junio.
b) El informe de cumplimiento del indicador será con cierre a diciembre.
c) Ambos informes deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
d) Ambos informes deben contener los medios de verificación declarados en el Plan."
"SLEP
Colchagua",6,Subdirección De Apoyo Técnico Pedagógico,Nuevo,"Se incorpora este indicador con el objetivo de monitorear el avance en la implementación de las acciones comprometidas en el Plan de Fortalecimiento de la Educación Parvularia, el cual busca garantizar una atención educativa de calidad en la primera infancia y asegurar las condiciones necesarias para el adecuado funcionamiento de los establecimientos dependientes del Servicio Local.
La elección de este indicador permite medir de manera sistemática los progresos en materia de cobertura, infraestructura, gestión pedagógica y condiciones de bienestar de los niños y niñas, elementos fundamentales para asegurar la continuidad y sostenibilidad de las mejoras en este nivel educativo.",Porcentaje De Cumplimiento Del Plan De Fortalecimient o A La Educación Parvularia,(Número de hitos cumplidos del Plan de Fortalecimient o a la Educación Parvularia en el año t / Número de hitos planificados del Plan de Fortalecimient o a la Educación Parvularia para el año t) * 100,Eficacia,Proceso,(A/B)*100,Porcentaje,N/A,N/A,95%,"31 de diciembre
de 2026",40%,"1. Plan de Fortalecimiento a la Educación Parvularia
2. Informe de avance
3. Informe de cumplimiento","1-Para el cálculo del denominador:
El Plan de Fortalecimiento a la Educación Parvularia (en adelante Plan):
a) Debe considerar las necesidades de cada una de las salas cunas, jardines infantiles y escuelas o liceos que cuenten con niveles de transición.
b) Debe considerar jornadas de reflexión para la definición de estrategias con foco en la mejora de los aprendizajes de los niños y niñas.
c) Debe ser aprobado por el Jefe del Centro de Responsabilidad y enviado mediante correo electrónico y/o memorándum al Jefe del Servicio, a más tardar en marzo del año t.
d) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación.
e) El Plan podrá ser modificado hasta junio del año t, solo en los hitos que hayan sido programados con fecha posterior a la fecha de la modificación. Cada modificación debe ser aprobada por el Jefe del Centro de Responsabilidad y enviada mediante correo electrónico y/o memorándum al Jefe de Servicio.
2-Para el cálculo del numerador:
Se considerará que un hito está cumplido cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicho hito, conforme a las fechas programadas.
3-Sobre el indicador:
a) El informe de avance del indicador será con corte a junio.
b) El informe de cumplimiento del indicador será con cierre a diciembre.
c) Ambos informes deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
d) Ambos informes deben contener los medios de verificación declarados en el Plan."
"SLEP
Colchagua",7,Subdirección De Apoyo Técnico Pedagógico,Nuevo,"Se incorpora este indicador con el propósito de monitorear el avance en la implementación del Plan de Mejora de la Convivencia Escolar, instrumento que orienta las acciones territoriales destinadas a promover ambientes educativos seguros, inclusivos y respetuosos.
La elección de este indicador responde a la necesidad de fortalecer la gestión institucional en materia de convivencia, asegurando la ejecución de estrategias preventivas y formativas que favorezcan el bienestar de las comunidades educativas. Su seguimiento permite evaluar la eficacia de las acciones implementadas, identificar brechas y ajustar oportunamente las intervenciones, contribuyendo así a una mejora continua en la gestión de la convivencia escolar.
Además, este indicador se alinea con las políticas ministeriales que promueven la formación integral de los estudiantes y la creación de entornos educativos que resguarden el desarrollo socioemocional y el aprendizaje, consolidando el compromiso del Servicio Local con una educación pública de calidad y con",Porcentaje De Cumplimiento Del Plan De Mejora De La Convivencia Escolar En El Territorio,(Número de hitos cumplidos del Plan de mejora de la convivencia escolar en el territorio en el año t / Número de hitos planificados del Plan de mejora de la convivencia escolar en el territorio para el año t) * 100,Eficacia,Proceso,(A/B)*100,Porcentaje,N/A,N/A,95%,"31 de diciembre
de 2026",30%,"1. Plan de mejora de la convivencia escolar en el territorio
2. Informe de avance
3. Informe de cumplimiento","1-Para el cálculo del denominador:
El Plan de mejora de la convivencia escolar en el territorio (en adelante Plan):
a) Debe orientarse a acciones que permitan la mejora de la convivencia escolar en el territorio.
b) Debe ser aprobado por el Jefe del Centro de Responsabilidad y enviado mediante correo electrónico y/o memorándum al Jefe del Servicio, a más tardar en marzo del año t.
c) Deben contener los hitos, sus respectivas descripciones, fechas programadas y de cumplimiento y medios de verificación que den cuenta de la ejecución.
d)  El Plan podrá ser modificado hasta junio del año t, solo en los hitos que hayan sido programados con fecha posterior a la fecha de la modificación. Cada modificación debe ser aprobada por el Jefe del Centro de Responsabilidad y enviada mediante correo electrónico y/o memorándum al Jefe de Servicio.
2-Para el cálculo del numerador:
Se considerará que un hito está cumplido cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicho hito, conforme a las fechas programadas.
3-Sobre el indicador:
a) El informe de avance del indicador será con corte a junio.
b) El informe de cumplimiento del indicador será con cierre a diciembre.
c) Ambos informes deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
d) Ambos informes deben contener los medios de verificación declarados en el Plan."
"SLEP
Colchagua",8,Subdirección De Apoyo Técnico Pedagógico,Nuevo,"Se incorpora este indicador con el propósito de dar seguimiento al avance en la implementación del Plan de Monitoreo de los Aprendizajes, instrumento que permite evaluar de manera sistemática los resultados educativos y orientar la toma de decisiones pedagógicas en el territorio.
La elección de este indicador responde a la necesidad de fortalecer la gestión pedagógica mediante el seguimiento permanente de los niveles de logro de los estudiantes, identificando brechas y oportunidades de mejora en los distintos establecimientos. De esta forma, se contribuye al desarrollo de estrategias focalizadas que promuevan una mejora continua en la calidad de los aprendizajes y en la equidad educativa.",Porcentaje De Cumplimiento Del Plan De Monitoreo De Los Aprendizajes,"(Número de hitos cumplidos del Plan de monitoreo de los aprendizajes en el año t
/Número de hitos planificados del Plan de monitoreo de los aprendizajes para el año t)
*100",Eficacia,Proceso,(A/B)*100,Porcentaje,N/A,N/A,95%,"31 de diciembre
de 2026",30%,"1. Plan de monitoreo de los aprendizajes
2. Informe de avance
3. Informe de cumplimiento","1-Para el cálculo del denominador:
El Plan de monitoreo de los aprendizajes (en adelante Plan):
a) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación, los que deben determinar los instrumentos a utilizar para monitorear aprendizajes, como el Diagnóstico Integral de Aprendizajes (DIA) o similares.
b) Debe contener un hito asociado al análisis y socialización de los resultados obtenidos del instrumento utilizado para el monitoreo de los aprendizajes.
c) Debe ser aprobado por el Jefe del Centro de Responsabilidad y enviado mediante correo electrónico y/o memorándum al Jefe del Servicio, a más tardar en marzo del año t.
d) El Plan podrá ser modificado hasta junio del año t, solo en los hitos que hayan sido programados con fecha posterior a la fecha de la modificación. Cada modificación debe ser aprobada por el Jefe del Centro de Responsabilidad y enviada mediante correo electrónico y/o memorándum al Jefe de Servicio.
2-Para el cálculo del numerador:
Se considerará que un hito está cumplido cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicho hito, conforme a las fechas programadas.
3-Sobre el indicador:
a) El informe de avance del indicador será con corte a junio.
b) El informe de cumplimiento del indicador será con cierre a diciembre.
c) Ambos informes deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
d) Ambos informes deben contener los medios de verificación declarados en el Plan."
"SLEP
Colchagua",9,Dirección,Continuidad,N/A,Porcentaje De Cumplimiento Del Plan Anual De Auditoría,(Número de auditorías realizadas del Plan Anual de Auditoría en el año t /Número de auditorías planificadas del Plan Anual de Auditoría para el año t) * 100,Eficacia,Proceso,(A/B)*100,Porcentaje,N/A,N/A,95%,"31 de diciembre
de 2026",30%,"1. Plan Anual de Auditoría
2. Informe de avance
3. Informe de cumplimiento","1-Para el cálculo del denominador:
El Plan Anual de Auditoría (en adelante Plan):
a) Debe ser aprobado por el Jefe del Centro de Responsabilidad y  enviado mediante correo electrónico y/o memorándum al Jefe del Servicio, a más tardar en marzo del año t.
b) Debe contener las auditorías con sus respectivas descripciones, fechas programadas y medios de verificación.
c) Puede estar sujeto a cambios justificados por parte del CAIGG, respecto de los hitos de aseguramiento gubernamentales.
2-Para el cálculo del numerador:
Se considerará que una auditoría está realizada cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicha actividad.
3-Sobre el indicador:
a) Se entiende por Auditoría a los procedimientos  definidos a nivel gubernamental, ministerial e institucional y no considera las actividades de consultoría, seguimiento y reportería.
b) El informe de avance del indicador será con corte a junio.
c) El informe de cumplimiento del indicador será con cierre a diciembre.
d) Ambos informes deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
e) Ambos informes deben contener los medios de verificación declarados en el Plan."
"SLEP
Colchagua",10,Dirección,Nuevo,"Se incorpora este indicador con el propósito de monitorear la implementación de las acciones contempladas en el Plan Comunicacional orientado a fortalecer la convivencia escolar positiva en los establecimientos educacionales del territorio.
La elección de este indicador responde a la necesidad de promover una comunicación interna y externa efectiva, que visibilice buenas prácticas, fomente  el respeto, la inclusión y la colaboración dentro de las comunidades educativas. A través de este plan, se busca instalar mensajes y estrategias comunicacionales coherentes con los valores institucionales, contribuyendo a la prevención de conflictos y al fortalecimiento de una cultura escolar basada en el buen trato y la participación.Asimismo, el seguimiento de este indicador permite evaluar la efectividad de las acciones comunicacionales en el fortalecimiento del clima escolar y la cohesión comunitaria, aportando a la consolidación de entornos educativos seguros, respetuosos y comprometidos con la formación integral de los estudiantes",Porcentaje de cumplimiento del Plan Comunicacion al para promover la Convivencia Escolar Positiva en los establecimient os educacionales (E.E),"(Número de hitos cumplidos del Plan comunicacion al para promover la convivencia escolar positiva en los
E.E  en el año t / Número total de hitos planificados del Plan comunicacion al para promover la convivencia escolar positiva en los
E.E para el año t) * 100",Eficacia,Proceso,(A/B)*100,Porcentaje,N/A,N/A,95%,"31 de diciembre
de 2026",35%,"1. Plan Comunicacional para promover la Convivencia Escolar Positiva en los establecimientos educacionales (E.E)
2. Informe de avance
3. Informe de cumplimiento","1-Para el cálculo del denominador:
El Plan comunicacional para promover la convivencia escolar positiva en los establecimientos educacionales públicos (en adelante Plan):
a) Debe orientarse a la difusión de acciones dirigidas a fortalecer y promover la convivencia escolar positiva.
b) Debe ser aprobado por el Jefe del Centro de Responsabilidad y enviado mediante correo electrónico y/o memorándum al Jefe del Servicio, a más tardar en marzo del año t.
c) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación.
d) El Plan podrá ser modificado hasta junio del año t, solo en los hitos que hayan sido programados con fecha posterior a la fecha de la modificación. Cada modificación debe ser aprobada por el Jefe del Centro de Responsabilidad y enviada mediante correo electrónico y/o memorándum al Jefe de Servicio.
2-Para el cálculo del numerador:
Se considerará que un hito está cumplido cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicho hito, conforme a las fechas programadas.
3- Sobre el indicador:
a) El informe de avance del indicador será con corte a junio.
b) El informe de cumplimiento del indicador será con cierre a diciembre.
c) Ambos informes deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
d) Ambos informes deben contener los medios de verificación declarados en el Plan."
