N°,Objetivo del Indicador,Tipo de indicador,Nombre del indicador,Categoría del indicador,CR, Relación con CADP Director del indicador,Fórmula de cálculo,Unidad de Medida,Medios de Verificación ,Notas
1,"Desarrollar una eficaz gestión del liderazgo en los diferentes niveles, procurando ofrecer el mejor servicio como sostenedores.",Reformulado,"Porcentaje de cumplimiento del Plan de trabajo anual con los Consejos Escolares (C.E) y Consejos de Educación Parvularia (CEP), Consejo Local (CL) y Comité Directivo Local (CDL)",Dirección ,Dirección ,Gobernanza: trabajo en red,"(Número de actividades realizadas en el año t del Plan de trabajo anual con los C.E y CEP, CL y CDL/ Número total de actividades para el año t del Plan de trabajo anual con los con los C.E y CEP, CL y CDL) * 100",Porcentaje,"1. Plan de trabajo anual con los Consejos Escolares y Consejos de Educación Parvularia, Consejo Local y Comité Directivo Local
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de trabajo anual con los Consejos Escolares y Consejos de Educación Parvularia, Consejo Local y Comité Directivo Local (en adelante Plan):
a) Debe esta formalizado mediante resolución a más tardar en el mes de abril y enviado por el jefe del centro de responsabilidad al Jefe de Servicio mediante correo electrónico o memorándum.
b) Debe contener las actividades con sus respectivas descripciones, fechas programadas y medios de verificación. 
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.
 
Sobre el indicador:
1.Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan."
2,Mejorar la asistencia de estudiantes ubicados en zona rural,Reformulado,Porcentaje de cobertura de transporte escolar para estudiantes que habitan en zonas rurales,Dirección ,Administración y finanzas,Gestión institucional: presupuesto,(Número de estudiantes que habitan en zonas rurales con cobertura de transporte escolar en el año t/ Número total de estudiantes que habitan en zonas rurales en el año t) *100,Porcentaje,"1. Listado de estudiantes que habitan en zonas rurales
2. Informe de cobertura de transporte escolar","Para el cálculo del denominador:
1. El listado de estudiantes que habitan en zonas rurales deberá estar a más tardar en junio del año t y ser validado por el responsable del Centro de Responsabilidad y enviado mediante correo electrónico al Jefe del Servicio.

Para el cálculo del numerador:
1. El informe de cobertura de transporte escolar deberá contener: 
a) Los contratos con las empresas de transporte, los que deberán señalar los recorridos que debe cubrir.
b) Definir qué se entiende por estudiante que habita en zona rural con cobertura de transporte escolar.
c) Total de estudiantes que habitan en zonas rurales por EE y nómina de estudiantes que se transportan.
d) Porcentaje de cobertura por establecimiento.

Sobre el indicador:
1. El informe de cobertura de transporte escolar deberá estar firmado por la Jefatura de la Subdirección responsable y enviado mediante memorándum o correo electrónico al Jefe del Servicio."
3,"Desarrollar una eficaz gestión del liderazgo en los diferentes niveles, procurando ofrecer el mejor servicio como sostenedores.",Reformulado,Porcentaje de convenios suscritos con Instituciones de Educación Superior y/o Empresas ,Dirección ,Dirección ,Gobernanza: trabajo en red,(Número de convenios suscritos con Instituciones de Educación superior y/o Empresas en el año t / Número total de convenios programados a suscribir con Instituciones de Educación superior y/o Empresas en el año t)*100,Porcentaje,"1. Listado de Instituciones de Educación Superior o Empresas programadas a suscribir convenios, formalizado.
2. Informe de cumplimiento del Programa de Convenios con Instituciones de Educación Superior o Empresas","Para el cálculo del denominador:
1. El listado de Instituciones de Educación Superior o Empresas programadas a suscribir convenios debe ser aprobado por el responsable del Centro de Responsabilidad y formalizado mediante correo electrónico al Jefe del Servicio, con fecha máxima de aprobación el 30 de abril del año t.

Para el cálculo del numerador:
1. Los convenios deberán:
a) Tener como objeto principal el potenciamiento de la formación técnico-profesional
b) La población beneficiaria de los convenios. 
2. Se entenderá un convenio como suscrito cuando esté firmado por ambas partes.

Sobre el indicador:
1. El listado de Instituciones de Educación Superior o Empresas programadas a suscribir convenios podrá ser modificado por el responsable del Centro de Responsabilidad y formalizado mediante correo electrónico al Jefe del Servicio, con fecha máxima 30 de septiembre del año t.
2. El informe de cumplimiento es con corte a diciembre debe contener al menos los Convenios efectivamente firmados con Instituciones de educación superior o Empresas"
4,"Desarrollar una eficaz gestión del liderazgo en los diferentes niveles, procurando ofrecer el mejor servicio como sostenedores.",Reformulado,Porcentaje de cumplimiento de Plan de trabajo anual con los Consejos Escolares y Consejos de Educación Parvularia,Dirección ,Vinculación y Participación territorial,Gobernanza: trabajo en red,(Número de hitos cumplidos en el año t del Plan de trabajo anual con los consejos escolares y consejos de educación parvularia / Número total de hitos del Plan de trabajo anual con los consejos escolares y consejos de educación parvularia para el año t)*100,Porcentaje,"1. Plan de trabajo anual con los Consejos Escolares y Consejos de Educación Parvularia.
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de trabajo anual con los Consejos Escolares y Consejos de Educación Parvularia (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo.
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación. 
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.
Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. 1.Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
5,Establecer el proceso de control interno,Reformulado,Porcentaje de cumplimiento del Plan Anual de Auditoría.,Dirección ,Dirección ,Gestión institucional: control interno,(Número de auditorías realizadas en el año t del Plan Anual de Auditoría /Número total de auditorías del Plan Anual de Auditoría para el año t) * 100,Porcentaje,"1. Plan Anual de Auditoría 
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan Anual de Auditoría (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t.
b) Debe contener las auditorías con sus respectivas descripciones, fechas programadas y medios de verificación. 
c) Puede estar sujeto a cambios justificados por parte del CAIGG, respecto de las actividades de aseguramiento gubernamentales

Para el cálculo del numerador:
1. Se considerará que una auditoria está realizada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Se entiende por Auditoría a las actividades de aseguramiento gubernamentales, ministeriales e institucionales. Se excluyen actividades de Consultorías, Seguimientos y reportería. 
2.Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
6,Procurar que la comunidad educativa del territorio conozca los objetivos del PEL,Reformulado,Porcentaje de cumplimiento del Plan Comunicacional para difundir los objetivos del Plan Estratégico Local (PEL),Dirección ,Dirección ,Gestión institucional: control interno,(Número de hitos cumplidos del Plan Comunicacional para difundir los objetivos del PEL en el año t/ Número total de hitos del Plan Comunicacional para difundir los objetivos del PEL en el año t)*100,Porcentaje,"1. Plan Comunicacional para difundir los objetivos del Plan Estratégico Local (PEL)
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan Comunicacional para difundir los objetivos del Plan Estratégico Local (PEL) (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t.
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación, los que deben estar enfocados en:
- gestión de medios externos (medios tradicionales: nacionales y regionales; y medios especializados)
- comunicaciones internas (por los canales de uso del SLEP)
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador: 
1. Entiéndase por PEL al Plan Estratégico Local elaborado por los Servicios Locales de Educación Pública.
2.Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
7,Mejorar los resultados del indicador de clima de convivencia escolar,Reformulado,Porcentaje de cumplimiento del Plan Comunicacional para promover la convivencia escolar positiva en los establecimientos educacionales públicos ,Dirección ,Apoyo técnico pedagogico,Gestión institucional: control interno,(Número de hitos cumplidos del Plan comunicacional para promover la convivencia escolar positiva en los establecimientos educacionales públicos en el año t / Número total de hitos planificados del Plan comunicacional para promover la convivencia escolar positiva en los establecimientos educacionales públicos en el año t) * 100,Porcentaje,"1. Plan Comunicacional para promover la convivencia escolar positiva en los establecimientos educacionales públicos 
2. Informe de avance
3. Informe de cumplimiento","Para el cálculo del denominador:
1. El Plan comunicacional para promover la convivencia escolar positiva en los establecimientos educacionales públicos debe validado y enviado a través de memorándum o correo electrónico desde el encargado de comunicaciones al Director ejecutivo a más tardar en marzo del año t.
2. El Plan debe contener: Los hitos o acciones, medios de verificación y fechas programadas.
3. El plazo máximo de modificación del plan será el 30 de junio, modificándose sólo los hitos programados con posterioridad a la fecha de modificación del plan.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. El informe de avance es con corte a junio.
2. El informe de cumplimiento es con cierre al 30 de noviembre y enviado al Director del Servicio en el mes de diciembre del año t.
3. Tanto el informe de avance como el informe de cumplimiento deben contener todos los medios de verificación cumplidos a la fecha."
8,"Desarrollar una eficaz gestión del liderazgo en los diferentes niveles, procurando ofrecer el mejor servicio como sostenedores.",Reformulado,"Porcentaje de cumplimiento del Plan de gestión de convenios con Instituciones Públicas o Privadas

 ",Dirección ,Dirección ,Gobernanza: trabajo en red,(Número de hitos cumplidos en el año t del Plan de Gestión de convenios con instituciones Pública o Privadas / Número total de hitos del Plan de Gestión de convenios con instituciones Públicos o Privados para el año t)*100,Porcentaje,"1. Plan de Gestión de convenios con instituciones Pública o Privadas
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de Gestión de convenios con instituciones Pública o Privadas (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación. 
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
9,Mejorar la asistencia técnica y las condiciones tecnológicas en los establecimientos educacionales,Reformulado,Porcentaje de cumplimiento del Plan de mejoramiento tecnológico de los establecimientos educacionales (E.E).,Dirección ,Administración y finanzas,Gestión institucional: presupuesto,(Número de actividades ejecutadas en el año t del Plan de mejoramiento tecnológico de los E.E/Número total de actividades del Plan de mejoramiento tecnológico de los E.E para el año t)*100,Porcentaje,"1. Plan de fortalecimiento tecnológico de los EE
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de mejoramiento tecnológico de los establecimientos educacionales (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener las actividades con sus respectivas descripciones, fechas programadas y medios de verificación. 
c) Debe detallar los establecimientos que recibirán el mejoramiento tecnológico.
2 .El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
10,Facilitar la mejora tecnológica en los SLEP mediante el cumplimiento del Plan de Mejoramiento Tecnológico.,Reformulado,Porcentaje de cumplimiento del Plan de mejoramiento tecnológico del SLEP,Dirección ,Administración y finanzas,Gestión institucional: presupuesto,(Número de actividades ejecutadas en el año t del plan de mejoramiento tecnológico del SLEP /Número total de actividades del Plan de mejoramiento tecnológico del SLEP para el año t)*100,Porcentaje,"1. Plan de fortalecimiento tecnológico del SLEP
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de fortalecimiento tecnológico del SLEP (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener las actividades con sus respectivas descripciones, fechas programadas y medios de verificación. 
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
